
,,,,,Games,Games 1, Def Interceptions,Def Interceptions1,Def Interceptions2,Fumblees,Tackles,,
,,,,,Games,Games 1, Def Interceptions,Def Interceptions1,Def Interceptions2,Fumblees,Fumblees1 ,Fumblees2,Tackles,Tackle1s,Tackles2,,
Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2010,24,DAL,,50,14,0,2,44,1,31,2,1,0,0,0,0,0.0,31,26,5,3,0,,2
2011,25,DAL,RILB,50,15,15,4,87,0,37,7,0,0,1,0,0,0.0,104,71,33,10,3,,8
2012,26,DAL,RILB,50,6,6,1,0,0,0,3,1,0,0,0,0,0.0,58,36,22,3,1,,3
2013,27,DAL,MLB,50,11,11,4,174,1,74,6,0,0,1,10,0,0.0,99,68,31,3,1,,5
2014,,Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL),Missed season - Injured (torn ACL)
2015*,29,DAL,RLB,50,14,14,1,0,0,0,5,,,,,,2.5,128,76,52,11,3,,10
2016*+,30,DAL,RLB,50,15,15,0,0,0,0,1,0,0,1,0,0,0.0,145,93,52,12,2,,15
2017,31,DAL,RLB,50,11,11,1,9,0,9,1,,,,,,0.0,101,70,31,13,1,,6
2018,32,DAL,rlb,50,7,5,0,0,0,0,1,0,0,1,0,0,0.5,30,15,15,1,2,,3
2019,33,DAL,LLB,50,16,13,1,25,0,25,4,,,,,,1.0,86,55,31,4,1,,7
2020,34,DAL,olb,50,9,2,,,,,,,,,,,0.0,20,11,9,0,1,,1
Career,Career,,,,118,92,14,339,2,74,30,2,0,4,10,0,4.0,802,521,281,60,15,,60
